INTERNAL_ID;DATETIME_EXCECUTED;PROCESS
1;2024-08-23 12:28:09 CET;get estimated emissions of air pollutants in the Canton of Zurich
2;2024-08-23 12:28:59 CET;get monitoring data vehicle remote emission sensing (RSD)
3;2024-08-23 12:28:59 CET;read metadata for vehicle type, fuel  and euronorm required for RSD NOx-Emission analysis, compiled from various sources
4;2024-08-23 12:28:59 CET;read filter criteria applied to RSD dataset 
5;2024-08-23 12:30:11 CET;read selected air quality monitoring data Kanton Zürich from national monitoring network NABEL (yearly values) 
6;2024-08-23 12:30:13 CET;read selected air quality monitoring data Kanton Zürich from intercantonal monitoring network OSTLUFT (yearly values) from github
7;2024-08-23 12:30:14 CET;read selected O3 peak-season monitoring data in Kanton Zürich from intercantonal monitoring network OSTLUFT and national monitoring network NABEL (yearly values)
8;2024-08-23 12:30:23 CET;read selected nitrogen deposition monitoring data Kanton Zürich from intercantonal monitoring network OSTLUFT (yearly values)
9;2024-08-23 12:30:10 CET;read site metadata OSTLUFT
10;2024-08-23 13:26:46 CET;read selected air quality threshold values (LRV legal limits WHO air quality guideline)
11;2024-08-23 13:25:12 CET;get vector data administrative Canton and municipality boundaries Canton Zürich
12;2024-08-23 13:01:23 CET;get polluMap raster data yearly concentrations of mean NO2, PM10, PM2.5 and eBC
13;2024-08-23 13:01:24 CET;get jahreskarten raster data yearly concentrations of mean nitrogen dioxide (NO2)
14;2024-08-23 13:01:24 CET;get jahreskarten raster data yearly concentrations of mean particulate matter PM10
15;2024-08-23 13:01:24 CET;get jahreskarten raster data yearly concentrations of mean particulate matter PM2.5
16;2024-08-23 13:01:24 CET;get jahreskarten raster data yearly concentrations Ozon, maximales monatliches 98-Perzentil
17;2024-08-23 13:16:59 CET;get modelled raster data ammonia concentrations
18;2024-08-23 13:17:14 CET;get modelled raster data nitrogen deposition
19;2024-08-23 13:17:17 CET;get modelled raster data exceedance of critical loads for nitrogen (CLN)
20;2024-08-23 13:03:04 CET;get inhabitant population
21;2024-08-23 12:30:06 CET;write emissions of air pollutants in the Canton of Zurich
22;2024-08-23 12:30:07 CET;write monitoring data vehicle remote emission sensing (RSD)
23;2024-08-23 12:30:26 CET;write air quality monitoring data Canton Zürich
24;2024-08-23 12:30:28 CET;write nitrogen deposition monitoring data Canton Zürich
25;2024-08-23 13:24:43 CET;write air quality population exposition weighted mean Canton Zürich
26;2024-08-23 13:24:44 CET;write air quality population exposition weighted mean municipalities
27;2024-08-23 13:24:45 CET;write air quality population exposition distribution
28;2024-08-23 13:24:46 CET;write nitrogen population exposition distribution
29;2024-08-23 13:27:49 CET;plot emissions of air pollutants in the Canton of Zurich
30;2024-08-23 13:28:57 CET;plot monitoring data vehicle remote emission sensing (RSD)
31;2024-08-23 13:29:00 CET;plot air quality monitoring data Canton Zürich
32;2024-08-23 13:42:41 CET;plot nitrogen deposition monitoring data Canton Zürich
33;2024-07-12 10:41:19 CET;plot air quality population exposition weighted means
34;2024-08-23 13:43:28 CET;plot air quality population exposition distribution
35;2024-07-12 10:41:19 CET;plot nitrogen sensitive ecosystem exposition distribution
