year;geodb_oid;bfs;municipality;admin_boundary;parameter;unit;pop_weighted_mean;source
2015;2909;119;Seegräben;municipality;NO2;μg/m3;18.79434342972414;OSTLUFT, BAFU, BFS
2015;2910;195;Maur;municipality;NO2;μg/m3;18.858637478302356;OSTLUFT, BAFU, BFS
2015;2911;242;Birmensdorf (ZH);municipality;NO2;μg/m3;21.67705573719668;OSTLUFT, BAFU, BFS
2015;2912;111;Bäretswil;municipality;NO2;μg/m3;14.350001248820075;OSTLUFT, BAFU, BFS
2015;2913;0;;municipality;NO2;μg/m3;NA;OSTLUFT, BAFU, BFS
2015;2914;248;Uitikon;municipality;NO2;μg/m3;19.96593889698467;OSTLUFT, BAFU, BFS
2015;2915;114;Fischenthal;municipality;NO2;μg/m3;11.980065494859723;OSTLUFT, BAFU, BFS
2015;2916;194;Greifensee;municipality;NO2;μg/m3;20.74773630013029;OSTLUFT, BAFU, BFS
2015;2917;193;Fällanden;municipality;NO2;μg/m3;20.58849893144125;OSTLUFT, BAFU, BFS
2015;2918;198;Uster;municipality;NO2;μg/m3;21.13039823399599;OSTLUFT, BAFU, BFS
2015;2919;173;Hittnau;municipality;NO2;μg/m3;15.115202210449718;OSTLUFT, BAFU, BFS
2015;2920;197;Schwerzenbach;municipality;NO2;μg/m3;21.875760846875576;OSTLUFT, BAFU, BFS
2015;2921;250;Urdorf;municipality;NO2;μg/m3;24.170967062050355;OSTLUFT, BAFU, BFS
2015;2922;177;Pfäffikon;municipality;NO2;μg/m3;19.126968684884478;OSTLUFT, BAFU, BFS
2015;2923;297;Bauma;municipality;NO2;μg/m3;13.79810089752167;OSTLUFT, BAFU, BFS
2015;2924;247;Schlieren;municipality;NO2;μg/m3;23.26166103392915;OSTLUFT, BAFU, BFS
2015;2925;0;;municipality;NO2;μg/m3;NA;OSTLUFT, BAFU, BFS
2015;2926;172;Fehraltorf;municipality;NO2;μg/m3;19.762211248280906;OSTLUFT, BAFU, BFS
2015;2927;191;Dübendorf;municipality;NO2;μg/m3;24.168657785903733;OSTLUFT, BAFU, BFS
2015;2928;0;NA;municipality;NO2;μg/m3;NA;OSTLUFT, BAFU, BFS
2015;2929;199;Volketswil;municipality;NO2;μg/m3;22.29922661988764;OSTLUFT, BAFU, BFS
2015;2930;249;Unterengstringen;municipality;NO2;μg/m3;27.705109425358344;OSTLUFT, BAFU, BFS
2015;2931;245;Oberengstringen;municipality;NO2;μg/m3;25.2473159380325;OSTLUFT, BAFU, BFS
2015;2932;243;Dietikon;municipality;NO2;μg/m3;24.247665752236948;OSTLUFT, BAFU, BFS
2015;2933;178;Russikon;municipality;NO2;μg/m3;15.882933165197311;OSTLUFT, BAFU, BFS
2015;2934;244;Geroldswil;municipality;NO2;μg/m3;31.60458908476946;OSTLUFT, BAFU, BFS
2015;2935;200;Wangen-Brüttisellen;municipality;NO2;μg/m3;31.24100653789203;OSTLUFT, BAFU, BFS
2015;2936;251;Weiningen (ZH);municipality;NO2;μg/m3;27.68931517857419;OSTLUFT, BAFU, BFS
2015;2937;261;Zürich;municipality;NO2;μg/m3;25.914166469594996;OSTLUFT, BAFU, BFS
